model,repeat,fold,fold_index,num_train,num_test,accuracy,macro_f1,weighted_f1,unweighted_recall,best_epoch
random_forest,2,5,10,231,57,0.614035,0.57197,0.59277,0.571778,
random_forest,3,1,11,230,58,0.586207,0.536675,0.558626,0.5375,
random_forest,3,2,12,230,58,0.775862,0.753419,0.758238,0.756073,
random_forest,3,3,13,230,58,0.655172,0.611655,0.628606,0.615385,
random_forest,3,4,14,231,57,0.754386,0.746159,0.749903,0.73971,
random_forest,3,5,15,231,57,0.631579,0.611246,0.621956,0.600287,
random_forest,4,1,16,230,58,0.741379,0.721582,0.7298,0.713782,
random_forest,4,2,17,230,58,0.655172,0.627943,0.637466,0.621457,
random_forest,4,3,18,230,58,0.603448,0.554694,0.572146,0.569838,
random_forest,4,4,19,231,57,0.684211,0.638528,0.662148,0.649038,
random_forest,4,5,20,231,57,0.649123,0.62552,0.636732,0.622385,
random_forest,5,1,21,230,58,0.655172,0.602728,0.628744,0.614423,
random_forest,5,2,22,230,58,0.706897,0.702178,0.701503,0.691296,
random_forest,5,3,23,230,58,0.827586,0.817788,0.820546,0.807692,
random_forest,5,4,24,231,57,0.736842,0.719148,0.72678,0.714406,
random_forest,5,5,25,231,57,0.631579,0.616589,0.625704,0.604757,
random_forest,6,1,26,230,58,0.637931,0.622382,0.631397,0.606731,
random_forest,6,2,27,230,58,0.637931,0.597367,0.619314,0.6083,
random_forest,6,3,28,230,58,0.758621,0.755645,0.759272,0.742915,
random_forest,6,4,29,231,57,0.719298,0.705042,0.710457,0.69197,
random_forest,6,5,30,231,57,0.631579,0.573914,0.595178,0.586538,
random_forest,7,1,31,230,58,0.655172,0.618365,0.634929,0.609295,
random_forest,7,2,32,230,58,0.637931,0.60353,0.611293,0.596154,
random_forest,7,3,33,230,58,0.62069,0.581528,0.594933,0.595142,
random_forest,7,4,34,231,57,0.666667,0.648649,0.65794,0.648026,
random_forest,7,5,35,231,57,0.719298,0.723738,0.719116,0.723937,
random_forest,8,1,36,230,58,0.62069,0.564116,0.590734,0.570833,
random_forest,8,2,37,230,58,0.603448,0.599396,0.601757,0.588057,
random_forest,8,3,38,230,58,0.724138,0.692099,0.70596,0.692308,
random_forest,8,4,39,231,57,0.666667,0.626804,0.636398,0.634278,
random_forest,8,5,40,231,57,0.666667,0.635301,0.645193,0.641616,
random_forest,9,1,41,230,58,0.741379,0.723665,0.735367,0.711859,
random_forest,9,2,42,230,58,0.655172,0.622536,0.628402,0.621457,
random_forest,9,3,43,230,58,0.706897,0.683652,0.695688,0.67915,
random_forest,9,4,44,231,57,0.684211,0.649324,0.66125,0.656714,
random_forest,9,5,45,231,57,0.631579,0.606101,0.624363,0.603155,
random_forest,10,1,46,230,58,0.655172,0.618597,0.635543,0.617628,
