class_label,recall,precision,auc
negative,0.9754178957718781,0.7090779127948534,0.8874141618868034
negative,0.9744346116027532,0.7088698140200286,0.8874141618868034
negative,0.9734513274336283,0.7086614173228346,0.8874141618868034
negative,0.9734513274336283,0.7091690544412608,0.8874141618868034
negative,0.9734513274336283,0.7096774193548387,0.8874141618868034
negative,0.9724680432645034,0.7094691535150646,0.8874141618868034
negative,0.9714847590953786,0.7092605886575736,0.8874141618868034
negative,0.9714847590953786,0.7097701149425287,0.8874141618868034
negative,0.9714847590953786,0.7102803738317757,0.8874141618868034
negative,0.9714847590953786,0.7107913669064748,0.8874141618868034
negative,0.9714847590953786,0.7113030957523399,0.8874141618868034
negative,0.9714847590953786,0.7118155619596542,0.8874141618868034
negative,0.9714847590953786,0.7123287671232876,0.8874141618868034
negative,0.9714847590953786,0.7128427128427128,0.8874141618868034
negative,0.9714847590953786,0.7133574007220217,0.8874141618868034
negative,0.9714847590953786,0.7138728323699421,0.8874141618868034
negative,0.9714847590953786,0.7143890093998554,0.8874141618868034
negative,0.9714847590953786,0.7149059334298119,0.8874141618868034
negative,0.9714847590953786,0.7154236060825488,0.8874141618868034
negative,0.9714847590953786,0.7159420289855073,0.8874141618868034
negative,0.9714847590953786,0.7164612037708484,0.8874141618868034
negative,0.9714847590953786,0.7169811320754716,0.8874141618868034
negative,0.9714847590953786,0.7175018155410312,0.8874141618868034
negative,0.9714847590953786,0.7180232558139535,0.8874141618868034
negative,0.9705014749262537,0.7178181818181818,0.8874141618868034
negative,0.9695181907571289,0.7176128093158661,0.8874141618868034
negative,0.9695181907571289,0.718135469774217,0.8874141618868034
negative,0.9695181907571289,0.7186588921282799,0.8874141618868034
negative,0.9685349065880039,0.7184536834427425,0.8874141618868034
negative,0.967551622418879,0.7182481751824817,0.8874141618868034
negative,0.967551622418879,0.718772826880935,0.8874141618868034
negative,0.967551622418879,0.7192982456140351,0.8874141618868034
negative,0.967551622418879,0.719824433065106,0.8874141618868034
negative,0.967551622418879,0.7203513909224012,0.8874141618868034
negative,0.9665683382497542,0.7201465201465201,0.8874141618868034
negative,0.9665683382497542,0.7206744868035191,0.8874141618868034
negative,0.9665683382497542,0.7212032281731474,0.8874141618868034
negative,0.9665683382497542,0.7217327459618208,0.8874141618868034
negative,0.9665683382497542,0.7222630418809699,0.8874141618868034
negative,0.9665683382497542,0.7227941176470588,0.8874141618868034
negative,0.9655850540806293,0.7225901398086828,0.8874141618868034
negative,0.9655850540806293,0.7231222385861561,0.8874141618868034
negative,0.9655850540806293,0.7236551215917465,0.8874141618868034
negative,0.9655850540806293,0.724188790560472,0.8874141618868034
negative,0.9655850540806293,0.7247232472324723,0.8874141618868034
negative,0.9646017699115044,0.7245199409158051,0.8874141618868034
negative,0.9636184857423795,0.7243163340724317,0.8874141618868034
negative,0.9636184857423795,0.7248520710059172,0.8874141618868034
negative,0.9636184857423795,0.7253886010362695,0.8874141618868034
negative,0.9636184857423795,0.725925925925926,0.8874141618868034
negative,0.9636184857423795,0.72646404744255,0.8874141618868034
negative,0.9626352015732547,0.7262611275964391,0.8874141618868034
negative,0.9616519174041298,0.7260579064587973,0.8874141618868034
negative,0.9616519174041298,0.7265973254086181,0.8874141618868034
negative,0.9616519174041298,0.7271375464684015,0.8874141618868034
negative,0.9616519174041298,0.7276785714285714,0.8874141618868034
negative,0.960668633235005,0.727475800446761,0.8874141618868034
negative,0.960668633235005,0.7280178837555886,0.8874141618868034
negative,0.95968534906588,0.7278150633855331,0.8874141618868034
negative,0.95968534906588,0.7283582089552239,0.8874141618868034
negative,0.9587020648967551,0.7281553398058253,0.8874141618868034
negative,0.9587020648967551,0.7286995515695067,0.8874141618868034
negative,0.9587020648967551,0.7292445774121167,0.8874141618868034
negative,0.9587020648967551,0.7297904191616766,0.8874141618868034
negative,0.9587020648967551,0.7303370786516854,0.8874141618868034
negative,0.9577187807276303,0.7301349325337332,0.8874141618868034
negative,0.9577187807276303,0.7306826706676669,0.8874141618868034
negative,0.9577187807276303,0.7312312312312312,0.8874141618868034
negative,0.9567354965585054,0.7310293012772352,0.8874141618868034
negative,0.9567354965585054,0.7315789473684211,0.8874141618868034
negative,0.9567354965585054,0.7321294206170053,0.8874141618868034
negative,0.9567354965585054,0.7326807228915663,0.8874141618868034
negative,0.9567354965585054,0.7332328560663149,0.8874141618868034
negative,0.9557522123893806,0.7330316742081447,0.8874141618868034
negative,0.9557522123893806,0.7335849056603774,0.8874141618868034
negative,0.9557522123893806,0.7341389728096677,0.8874141618868034
