class_label,fpr,tpr,auc
negative,0.20127118644067796,0.647984267453294,0.7948540072996351
negative,0.211864406779661,0.647984267453294,0.7948540072996351
negative,0.211864406779661,0.6568338249754179,0.7948540072996351
negative,0.21398305084745764,0.6568338249754179,0.7948540072996351
negative,0.21398305084745764,0.6627335299901671,0.7948540072996351
negative,0.21610169491525424,0.6627335299901671,0.7948540072996351
negative,0.21610169491525424,0.6676499508357916,0.7948540072996351
negative,0.21822033898305085,0.6676499508357916,0.7948540072996351
negative,0.21822033898305085,0.671583087512291,0.7948540072996351
negative,0.22033898305084745,0.671583087512291,0.7948540072996351
negative,0.22033898305084745,0.672566371681416,0.7948540072996351
negative,0.22245762711864406,0.672566371681416,0.7948540072996351
negative,0.22245762711864406,0.6784660766961652,0.7948540072996351
negative,0.2245762711864407,0.6784660766961652,0.7948540072996351
negative,0.2245762711864407,0.6833824975417896,0.7948540072996351
negative,0.2266949152542373,0.6833824975417896,0.7948540072996351
negative,0.2266949152542373,0.6843657817109144,0.7948540072996351
negative,0.2309322033898305,0.6843657817109144,0.7948540072996351
negative,0.2309322033898305,0.6863323500491643,0.7948540072996351
negative,0.23728813559322035,0.6863323500491643,0.7948540072996351
negative,0.23728813559322035,0.6873156342182891,0.7948540072996351
negative,0.23940677966101695,0.6873156342182891,0.7948540072996351
negative,0.23940677966101695,0.688298918387414,0.7948540072996351
negative,0.24152542372881355,0.688298918387414,0.7948540072996351
negative,0.24152542372881355,0.6981317600786627,0.7948540072996351
negative,0.2521186440677966,0.6981317600786627,0.7948540072996351
negative,0.2521186440677966,0.704031465093412,0.7948540072996351
negative,0.2542372881355932,0.704031465093412,0.7948540072996351
negative,0.2542372881355932,0.7109144542772862,0.7948540072996351
negative,0.2563559322033898,0.7109144542772862,0.7948540072996351
negative,0.2563559322033898,0.7138643067846607,0.7948540072996351
negative,0.2627118644067797,0.7138643067846607,0.7948540072996351
negative,0.2627118644067797,0.7168141592920354,0.7948540072996351
negative,0.2648305084745763,0.7168141592920354,0.7948540072996351
negative,0.2648305084745763,0.7197640117994101,0.7948540072996351
negative,0.2669491525423729,0.7197640117994101,0.7948540072996351
negative,0.2669491525423729,0.7256637168141593,0.7948540072996351
negative,0.2690677966101695,0.7256637168141593,0.7948540072996351
negative,0.2690677966101695,0.7266470009832842,0.7948540072996351
negative,0.2711864406779661,0.7266470009832842,0.7948540072996351
negative,0.2711864406779661,0.727630285152409,0.7948540072996351
negative,0.2775423728813559,0.727630285152409,0.7948540072996351
negative,0.2775423728813559,0.7286135693215339,0.7948540072996351
negative,0.2796610169491525,0.7286135693215339,0.7948540072996351
negative,0.2796610169491525,0.7295968534906588,0.7948540072996351
negative,0.2860169491525424,0.7295968534906588,0.7948540072996351
negative,0.2860169491525424,0.7335299901671584,0.7948540072996351
negative,0.2923728813559322,0.7335299901671584,0.7948540072996351
negative,0.2923728813559322,0.7384464110127827,0.7948540072996351
negative,0.298728813559322,0.7384464110127827,0.7948540072996351
negative,0.298728813559322,0.7394296951819076,0.7948540072996351
negative,0.3029661016949153,0.7394296951819076,0.7948540072996351
negative,0.3029661016949153,0.7413962635201573,0.7948540072996351
negative,0.3050847457627119,0.7413962635201573,0.7948540072996351
negative,0.3050847457627119,0.7423795476892822,0.7948540072996351
negative,0.3093220338983051,0.7423795476892822,0.7948540072996351
negative,0.3093220338983051,0.7463126843657817,0.7948540072996351
negative,0.3114406779661017,0.7463126843657817,0.7948540072996351
negative,0.3114406779661017,0.7472959685349065,0.7948540072996351
negative,0.3156779661016949,0.7472959685349065,0.7948540072996351
negative,0.3156779661016949,0.7482792527040315,0.7948540072996351
negative,0.3177966101694915,0.7482792527040315,0.7948540072996351
negative,0.3177966101694915,0.7492625368731564,0.7948540072996351
negative,0.3241525423728814,0.7492625368731564,0.7948540072996351
negative,0.3241525423728814,0.7522123893805309,0.7948540072996351
negative,0.3283898305084746,0.7522123893805309,0.7948540072996351
negative,0.3283898305084746,0.7531956735496559,0.7948540072996351
negative,0.3305084745762712,0.7531956735496559,0.7948540072996351
negative,0.3305084745762712,0.7551622418879056,0.7948540072996351
negative,0.3326271186440678,0.7551622418879056,0.7948540072996351
negative,0.3326271186440678,0.7590953785644051,0.7948540072996351
negative,0.336864406779661,0.7590953785644051,0.7948540072996351
negative,0.336864406779661,0.76007866273353,0.7948540072996351
