recall,precision,auc
1.0,0.1559633027522936,0.9552302685780196
1.0,0.1574074074074074,0.9552302685780196
1.0,0.16037735849056603,0.9552302685780196
1.0,0.1619047619047619,0.9552302685780196
1.0,0.16346153846153846,0.9552302685780196
1.0,0.1650485436893204,0.9552302685780196
1.0,0.16831683168316833,0.9552302685780196
1.0,0.17,0.9552302685780196
1.0,0.1717171717171717,0.9552302685780196
1.0,0.17525773195876287,0.9552302685780196
1.0,0.17708333333333334,0.9552302685780196
1.0,0.17894736842105263,0.9552302685780196
1.0,0.18085106382978725,0.9552302685780196
1.0,0.1827956989247312,0.9552302685780196
1.0,0.18478260869565216,0.9552302685780196
1.0,0.18681318681318682,0.9552302685780196
1.0,0.18888888888888888,0.9552302685780196
1.0,0.19101123595505617,0.9552302685780196
1.0,0.19318181818181818,0.9552302685780196
1.0,0.19540229885057472,0.9552302685780196
1.0,0.19767441860465115,0.9552302685780196
1.0,0.2,0.9552302685780196
1.0,0.20238095238095238,0.9552302685780196
1.0,0.20481927710843373,0.9552302685780196
1.0,0.2073170731707317,0.9552302685780196
1.0,0.20987654320987653,0.9552302685780196
1.0,0.2125,0.9552302685780196
1.0,0.21518987341772153,0.9552302685780196
1.0,0.21794871794871795,0.9552302685780196
1.0,0.22077922077922077,0.9552302685780196
1.0,0.2236842105263158,0.9552302685780196
1.0,0.22666666666666666,0.9552302685780196
1.0,0.22972972972972974,0.9552302685780196
1.0,0.2328767123287671,0.9552302685780196
1.0,0.2361111111111111,0.9552302685780196
1.0,0.23943661971830985,0.9552302685780196
1.0,0.24285714285714285,0.9552302685780196
1.0,0.2463768115942029,0.9552302685780196
1.0,0.25,0.9552302685780196
1.0,0.2537313432835821,0.9552302685780196
1.0,0.25757575757575757,0.9552302685780196
1.0,0.26153846153846155,0.9552302685780196
1.0,0.265625,0.9552302685780196
1.0,0.2698412698412698,0.9552302685780196
1.0,0.27419354838709675,0.9552302685780196
1.0,0.2786885245901639,0.9552302685780196
1.0,0.2833333333333333,0.9552302685780196
1.0,0.288135593220339,0.9552302685780196
1.0,0.29310344827586204,0.9552302685780196
1.0,0.2982456140350877,0.9552302685780196
1.0,0.30357142857142855,0.9552302685780196
1.0,0.3090909090909091,0.9552302685780196
1.0,0.3148148148148148,0.9552302685780196
1.0,0.32075471698113206,0.9552302685780196
1.0,0.3269230769230769,0.9552302685780196
1.0,0.3333333333333333,0.9552302685780196
1.0,0.34,0.9552302685780196
1.0,0.3469387755102041,0.9552302685780196
1.0,0.3541666666666667,0.9552302685780196
1.0,0.3617021276595745,0.9552302685780196
1.0,0.3695652173913043,0.9552302685780196
1.0,0.37777777777777777,0.9552302685780196
1.0,0.38636363636363635,0.9552302685780196
1.0,0.3953488372093023,0.9552302685780196
1.0,0.40476190476190477,0.9552302685780196
1.0,0.4146341463414634,0.9552302685780196
1.0,0.425,0.9552302685780196
1.0,0.4358974358974359,0.9552302685780196
1.0,0.4473684210526316,0.9552302685780196
1.0,0.4594594594594595,0.9552302685780196
1.0,0.4722222222222222,0.9552302685780196
1.0,0.4857142857142857,0.9552302685780196
1.0,0.5,0.9552302685780196
1.0,0.5151515151515151,0.9552302685780196
1.0,0.53125,0.9552302685780196
1.0,0.5483870967741935,0.9552302685780196
1.0,0.5666666666666667,0.9552302685780196
1.0,0.5862068965517241,0.9552302685780196
1.0,0.6071428571428571,0.9552302685780196
1.0,0.6296296296296297,0.9552302685780196
1.0,0.6538461538461539,0.9552302685780196
1.0,0.68,0.9552302685780196
0.9411764705882353,0.6666666666666666,0.9552302685780196
0.9411764705882353,0.6956521739130435,0.9552302685780196
0.9411764705882353,0.7272727272727273,0.9552302685780196
0.9411764705882353,0.7619047619047619,0.9552302685780196
0.8823529411764706,0.75,0.9552302685780196
0.8823529411764706,0.7894736842105263,0.9552302685780196
0.8823529411764706,0.8333333333333334,0.9552302685780196
0.8823529411764706,0.8823529411764706,0.9552302685780196
0.8235294117647058,0.875,0.9552302685780196
0.8235294117647058,0.9333333333333333,0.9552302685780196
0.7647058823529411,0.9285714285714286,0.9552302685780196
0.7647058823529411,1.0,0.9552302685780196
0.7058823529411765,1.0,0.9552302685780196
0.6470588235294118,1.0,0.9552302685780196
0.5882352941176471,1.0,0.9552302685780196
0.5294117647058824,1.0,0.9552302685780196
0.47058823529411764,1.0,0.9552302685780196
0.4117647058823529,1.0,0.9552302685780196
0.35294117647058826,1.0,0.9552302685780196
0.29411764705882354,1.0,0.9552302685780196
0.23529411764705882,1.0,0.9552302685780196
0.17647058823529413,1.0,0.9552302685780196
0.11764705882352941,1.0,0.9552302685780196
0.058823529411764705,1.0,0.9552302685780196
0.0,1.0,0.9552302685780196
